Course,Section,L,Course Name,Enrolled,Credits,Days,Times,Rooms,Instructor
ADMI-3017,40,,INTRODUCCION AL DESARROLLO EMPRESARIAL,36,2,LW,10:00 am - 10:50 am,AE-340,Patricia Valentin Castillo 
ADMI-3017,106,,INTRODUCCION AL DESARROLLO EMPRESARIAL,36,2,M,4:00 pm - 5:50 pm,AE-338,Mari L. Zapata Ramos 
ADMI-3017,107,,INTRODUCCION AL DESARROLLO EMPRESARIAL,35,2,J,4:00 pm - 5:50 pm,AE-338,Jose Vega Torres 
ADMI-3018,96,,TECNICAS AVANZADAS DE HOJAS DE CALCULO,28,2,MJ,3:00 pm - 4:15 pm,AE-105,Wanda Negron Rios 
ADMI-3018,100,,TECNICAS AVANZADAS DE HOJAS DE CALCULO,27,2,LW,4:00 pm - 5:15 pm,AE-105,Wanda Negron Rios 
ADMI-3150,96,,DESARROLLO DEL PLAN DE NEGOCIO,30,3,MJ,3:00 pm - 4:15 pm,AE-402,Patricia Valentin Castillo 
ADMI-3155,76,,CREATIVIDAD E INNOVACION EMPRESARIAL,34,3,MJ,1:30 pm - 2:45 pm,AE-340,Moraima De Hoyos Ruperto 
ADMI-3155,96,,CREATIVIDAD E INNOVACION EMPRESARIAL,33,3,MJ,3:00 pm - 4:15 pm,AE-340,Moraima De Hoyos Ruperto 
ADMI-4001,20,,INTRODUCCION AL DERECHO,34,3,LWV,8:00 am - 8:50 am,AE-303,Miguel Segui Figueroa 
ADMI-4001,26,,INTRODUCCION AL DERECHO,34,3,MJ,8:30 am - 9:45 am,AE-338,Darik Cruz Martinez 
ADMI-4001,27,,INTRODUCCION AL DERECHO,64,3,MJ,8:30 am - 9:45 am,AE-305,Jaime Sepulveda Rivera 
ADMI-4001,30,,INTRODUCCION AL DERECHO,64,3,LWV,9:00 am - 9:50 am,AE-305,Miguel Segui Figueroa 
ADMI-4001,40,,INTRODUCCION AL DERECHO,34,3,LWV,10:00 am - 10:50 am,AE-402,Jaime Sepulveda Rivera 
ADMI-4001,50,,INTRODUCCION AL DERECHO,34,3,LWV,11:00 am - 11:50 am,AE-402,Jaime Sepulveda Rivera 
ADMI-4018,20,,GERENCIA ESTRATEGICA,34,3,LWV,8:00 am - 8:50 am,AE-305,Edgar Soto Rodriguez 
ADMI-4018,76,,GERENCIA ESTRATEGICA,54,3,MJ,1:30 pm - 2:45 pm,AE-305,Edgar Soto Rodriguez 
ADMI-4039,26,,METODOS DE INVESTIGACION EN LOS NEGOCIOS,24,3,MJ,8:30 am - 9:45 am,AE-203A,Bodapati Radhakumar Gandhi 
ADMI-4039,40,,METODOS DE INVESTIGACION EN LOS NEGOCIOS,24,3,LWV,10:00 am - 10:50 am,AE-203A,Bodapati Radhakumar Gandhi 
ADMI-4039,76,,METODOS DE INVESTIGACION EN LOS NEGOCIOS,30,3,MJ,1:30 pm - 2:45 pm,AE-233,William Joseph Frey 
ADMI-4056,66,,SEMINARIO,20,2,MJ,12:00 pm - 1:15 pm,AE-203A,Bodapati Radhakumar Gandhi 
ADMI-4057,50,,SEMINARIO,20,3,LWV,11:00 am - 11:50 am,AE-203A,Bodapati Radhakumar Gandhi 
ADMI-4085,30,,FUNDAMENTOS DE LA GERENCIA DE PROYECTOS,35,3,LWV,9:00 am - 9:50 am,AE-303,Roberto Seijo Vidal 
ADMI-4085,50,,FUNDAMENTOS DE LA GERENCIA DE PROYECTOS,34,3,LWV,11:00 am - 11:50 am,AE-303,Miguel Segui Figueroa 
ADMI-4085,60,,FUNDAMENTOS DE LA GERENCIA DE PROYECTOS,34,3,LWV,12:00 pm - 12:50 pm,AE-303,Miguel Segui Figueroa 
ADMI-4085,66,,FUNDAMENTOS DE LA GERENCIA DE PROYECTOS,34,3,MJ,12:00 pm - 1:15 pm,AE-305,Mario Cordova Claudio 
ADMI-4085,106,,FUNDAMENTOS DE LA GERENCIA DE PROYECTOS,34,3,MJ,4:30 pm - 5:45 pm,AE-305,Mario Cordova Claudio 
ADMI-4116,26,,LA DIMENSION HUMANA EN LA GERENCIA DE PROYECTO,30,3,MJ,8:30 am - 9:45 am,AE-402,Maria A Amador Dumois 
ADMI-4997,1,#,PRACTICA DE EMPRESAS PARA ESTUDIANTES DEL PLAN COOP,6,0, , , ,Karen Cotto Quijano 
ADMI-6005,1,#,TEMAS ESPECIALES,1,0, , , ,Jose Vega Torres 
ADMI-6005,120,,TEMAS ESPECIALES,17,3,L,6:00 pm - 8:50 pm,AE-302,Felix Bartolomei Rodriguez 
ADMI-6005,126,,TEMAS ESPECIALES,17,3,M,6:00 pm - 8:50 pm,AE-303,Jose Vega Torres 
ADMI-6006,1,P,PRACTICA PLAN COOP,10,0, , , ,Karen Cotto Quijano 
ADMI-6097,1,#,PROYECTO,1,3, , , ,Maria A Amador Dumois 
ADMI-6097,2,#,PROYECTO,1,0, , , ,Maria A Amador Dumois 
ADMI-6097,3,#,PROYECTO,1,3, , , ,Carmen Figueroa Medina 
ADMI-6097,4,#,PROYECTO,1,0, , , ,Jose Vega Torres 
ADMI-6097,5,#,PROYECTO,1,3, , , ,Carmen Figueroa Medina 
ADMI-6097,6,#,PROYECTO,1,0, , , ,Jose Vega Torres 
ADMI-6097,7,#,PROYECTO,1,3, , , ,Roberto Seijo Vidal 
